ProbeName,TargetName,Target_Name,HUGOSymbol,Accessions,AnalyteType,CodeClass,TargetGroup
DPROT_01159.1,STAT2,STAT2,STAT2,"R9QE65,P52630",Protein,Endogenous,"All Targets, Other Interleukin Signaling, Chemokine Signaling, Type I Interferon Signaling, JAK-STAT Signaling"
DPROT_00973.1,Wee1,Wee1,WEE1,"P30291,Q86V29",Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_00883.1,CD45,CD45,PTPRC,"X6R433,P08575,A0A0A0MT22,M9MML4",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Differentiation, TCR Signaling"
DPROT_01153.1,CREB (phospho S133),CREB (phospho S133),CREB1,"P16220,B7Z5C6,Q5U0J5,Q53X93",Protein,Endogenous,"All Targets, TNF Signaling, Notch Signaling, NRF2 Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, IL-17 Signaling, Mitochondrial Metabolism / TCA, TLR Signaling, AMPK Signaling"
DPROT_01007.1,NFAT2,NFAT2,NFATC1,"F5H4S8,A8K9C6,O95644,B4DER8",Protein,Endogenous,"All Targets, Myeloid Inflammation, MAPK Signaling, TCR Signaling, Senescence, Wnt Signaling"
DPROT_01107.1,VEGF Receptor 1,VEGF Receptor 1,FLT1,"L7RSL3,P17948",Protein,Endogenous,"All Targets, Epigenetic Modification, Cell Adhesion & Motility, PI3K-Akt Signaling, MAPK Signaling, HIF1 Signaling"
DPROT_00944.1,p73,p73,TP73,"A0A024R4C3,O15350,A0A0C4DFW9",Protein,Endogenous,"All Targets, Apoptosis, p53 Signaling, DNA Damage Repair"
DPROT_00750.1,CCR3,CCR3,CCR3,"P51677,Q8TDP4,Q8TDP5,A0A024R2Z3",Protein,Endogenous,"All Targets, Chemokine Signaling"
DPROT_00129.1,p53,p53,TP53,"A0A087X1Q1,K7PPA8,H2EHT1,Q53GA5,P04637,A0A087WT22,A0A087WXZ1",Protein,Endogenous,"All Targets, Notch Signaling, Myc, Epigenetic Modification, Apoptosis, Oxidative Stress, p53 Signaling, DNA Damage Repair, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle, EMT"
DPROT_00797.1,CD74,CD74,CD74,P04233,Protein,Endogenous,"All Targets, MHC Class II Antigen Presentation"
DPROT_00934.1,Progesterone Receptor (phospho S190),Progesterone Receptor (phospho S190),PGR,P06401,Protein,Endogenous,"All Targets, Estrogen Signaling"
DPROT_01071.1,MSH6,MSH6,MSH6,"Q3SWU9,P52701",Protein,Endogenous,"All Targets, DNA Damage Repair"
DPROT_00840.1,KMT6 / EZH2,KMT6 / EZH2,EZH2,"S4S3R8,Q15910,A0A090N8E9",Protein,Endogenous,"All Targets, Immortality & Stemness, Epigenetic Modification, Oxidative Stress, Differentiation, Senescence, EMT"
DPROT_00826.1,FGF2,FGF2,FGF2,"P09038,A0A087WUF6",Protein,Endogenous,"All Targets, Insulin Signaling, Immortality & Stemness, FGFR Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling"
DPROT_00215.1,Granzyme A,Granzyme A,GZMA,P12544,Protein,Endogenous,"All Targets, Cytotoxicity"
DPROT_00790.1,IL-5RA,IL-5RA,IL5RA,"A0A024R2C8,Q8NHV7,Q01344",Protein,Endogenous,"All Targets, MAPK Signaling, Other Interleukin Signaling, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00421.1,Cyclin D1,Cyclin D1,CCND1,"Q6FI00,P24385",Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Cell Adhesion & Motility, p53 Signaling, Hedgehog Signaling, Estrogen Signaling, PI3K-Akt Signaling, FoxO Signaling, Other Interleukin Signaling, JAK-STAT Signaling, Senescence, Wnt Signaling, Cell Cycle, AMPK Signaling"
DPROT_00754.1,NKG2D,NKG2D,"KLRK1,KLRC4-KLRK1","P26718,A0A024RAP8",Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01091.1,Histone H3 (di methyl K4),Histone H3 (di methyl K4),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_00959.1,MRP8,MRP8,S100A8,P05109,Protein,Endogenous,"All Targets, TLR Signaling"
DPROT_00419.1,ATR (phospho S428),ATR (phospho S428),ATR,Q13535,Protein,Endogenous,"All Targets, p53 Signaling, DNA Damage Repair, Senescence, Cell Cycle"
DPROT_00918.1,Rb (phospho T373),Rb (phospho T373),RB1,"P06400,A0A024RDV3",Protein,Endogenous,"All Targets, Androgen Signaling, Senescence, Cell Cycle"
DPROT_00236.1,AKT1 (phospho S473),AKT1 (phospho S473),AKT1,"B3KVH4,B0LPE5,P31749",Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, Notch Signaling, VEGF Signaling, ERBB2 Signaling, Cell Adhesion & Motility, Apoptosis, Myeloid Inflammation, Oxidative Stress, p53 Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Other Interleukin Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, HIF1 Signaling, TLR Signaling, JAK-STAT Signaling, Senescence, Wnt Signaling, Cell Cycle, AMPK Signaling, EMT"
DPROT_01057.1,Rb (phospho S608),Rb (phospho S608),RB1,"P06400,A0A024RDV3",Protein,Endogenous,"All Targets, Androgen Signaling, Senescence, Cell Cycle"
DPROT_00880.1,SOX9,SOX9,SOX9,P48436,Protein,Endogenous,"All Targets, Wnt Signaling"
DPROT_01094.1,Fatty Acid Synthase,Fatty Acid Synthase,FASN,P49327,Protein,Endogenous,"All Targets, Insulin Signaling, Myc, Lipid Metabolism, AMPK Signaling"
DPROT_00803.1,Caspase-3,Caspase-3,CASP3,P42574,Protein,Endogenous,"All Targets, TNF Signaling, T Cell Exhaustion, Matrix Remodeling and Metastasis, Apoptosis, Oxidative Stress, Hippo Signaling, p53 Signaling, MAPK Signaling, Other Interleukin Signaling"
DPROT_00885.1,RUNX1 / AML1 + RUNX3 + RUNX2,RUNX1 / AML1 + RUNX3 + RUNX2,"RUNX2,RUNX3,RUNX1","A0A0D9SEN7,Q13950,Q32MY8,Q01196,A0A024RAH4,Q13761",Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, TH2 Differentiation, Wnt Signaling"
DPROT_00776.1,ErbB4 / HER4+ErbB2 / HER2,ErbB4 / HER4+ErbB2 / HER2,"ERBB2,ERBB4","F5H1T4,J3QLU9,Q15303,P04626,X5DNK3",Protein,Endogenous,"All Targets, ERBB2 Signaling, Cell Adhesion & Motility, Differentiation, PI3K-Akt Signaling, MAPK Signaling, HIF1 Signaling, EMT"
DPROT_00531.1,Cyclophilin A,Cyclophilin A,PPIA,"P62937,V9HWF5",Protein,Endogenous,"All Targets, Other Interleukin Signaling, mTOR Signaling"
DPROT_00748.1,Histone H3 (di methyl K79),Histone H3 (di methyl K79),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_01195.1,AIF,AIF,"AIFM1,TXNDC12","O95831,O95881,E9PMA0",Protein,Endogenous,"All Targets, Apoptosis, Oxidative Stress"
DPROT_00964.1,MS4A2,MS4A2,MS4A2,"Q01362,A0A0B4J2E9",Protein,Endogenous,"All Targets, Myeloid Inflammation"
DPROT_00904.1,p53 (phospho S46),p53 (phospho S46),TP53,"A0A087X1Q1,K7PPA8,H2EHT1,Q53GA5,P04637,A0A087WT22,A0A087WXZ1",Protein,Endogenous,"All Targets, Notch Signaling, Myc, Epigenetic Modification, Apoptosis, Oxidative Stress, p53 Signaling, DNA Damage Repair, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle, EMT"
DPROT_01216.1,SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467),SMAD1 + SMAD5 + SMAD9 (phospho S463 + S465 + S467),"SMAD5,SMAD1,SMAD9","Q15797,Q68DB7,O15198,Q99717,A0A024RDR3",Protein,Endogenous,"All Targets, Epigenetic Modification, TGF-beta Signaling"
DPROT_01077.1,DUSP6,DUSP6,DUSP6,"A0A024RBC1,Q16828,Q53GP9",Protein,Endogenous,"All Targets, Epigenetic Modification, MAPK Signaling, IL-17 Signaling, TLR Signaling"
DPROT_00769.1,Cytokeratin 1,Cytokeratin 1,KRT1,P04264,Protein,Endogenous,"All Targets, Oxidative Stress, Differentiation"
DPROT_00813.1,FANCI,FANCI,FANCI,"B3KNW8,Q9NVI1",Protein,Endogenous,"All Targets, p53 Signaling, DNA Damage Repair"
DPROT_01051.1,HuR / ELAVL1,HuR / ELAVL1,ELAVL1,Q15717,Protein,Endogenous,"All Targets, AMPK Signaling"
DPROT_00838.1,HLA B7,HLA B7,HLA-B,"P01889,E5FQ95",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Endocytosis, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling, Type I Interferon Signaling, Senescence"
DPROT_00844.1,N Cadherin,N Cadherin,CDH2,"A0A024RC42,P19022",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Differentiation, EMT"
DPROT_01118.1,GLP-1,GLP-1,GCG,P01275,Protein,Endogenous,All Targets
DPROT_00721.1,IL-15RA,IL-15RA,IL15RA,"G8CVM3,A0A0A0MS77,Q13261",Protein,Endogenous,"All Targets, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00954.1,UBE2C,UBE2C,UBE2C,"A0A087WVK1,O00762,A0A0A0MSE8,Q5TZN3",Protein,Endogenous,"All Targets, MHC Class I Antigen Presentation, Senescence, Cell Cycle"
DPROT_01056.1,Adenosine Receptor A2a,Adenosine Receptor A2a,ADORA2A,"A8K1F6,X5DNB4,P29274,B3KVQ4",Protein,Endogenous,"All Targets, Purinergic Signaling, T-cell Checkpoints"
DPROT_01099.1,CD11b,CD11b,ITGAM,P11215,Protein,Endogenous,"All Targets, Epigenetic Modification, Cell Adhesion & Motility, Lymphocyte Trafficking, Other Interleukin Signaling, TLR Signaling, Complement System"
DPROT_00006.1,CD68,CD68,CD68,P34810,Protein,Endogenous,"All Targets, Lysosome"
DPROT_00856.1,beta 2 Microglobulin,beta 2 Microglobulin,B2M,P61769,Protein,Endogenous,"All Targets, Androgen Signaling, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling"
DPROT_00271.1,CD20,CD20,MS4A1,"P11836,A0A024R507",Protein,Endogenous,All Targets
DPROT_00246.1,Bad,Bad,BAD,"Q92934,A0A024R562",Protein,Endogenous,"All Targets, Insulin Signaling, VEGF Signaling, Cell Adhesion & Motility, Apoptosis, Oxidative Stress, PI3K-Akt Signaling, Autophagy, Chemokine Signaling"
DPROT_00247.1,Bcl6,Bcl6,BCL6,"P41182,B5B0A5",Protein,Endogenous,"All Targets, TH1 Differentiation, Epigenetic Modification, FoxO Signaling, Other Interleukin Signaling"
DPROT_01174.1,MEK4/MKK4 (phospho S80),MEK4/MKK4 (phospho S80),MAP2K4,P45985,Protein,Endogenous,"All Targets, TNF Signaling, Myeloid Inflammation, MAPK Signaling, IL-17 Signaling, TLR Signaling, Senescence, IL-1 Signaling"
DPROT_00678.1,Transferrin Receptor,Transferrin Receptor,TFRC,"G3V0E5,P02786,Q7Z3E0,A8K6Q8,B7Z2I6",Protein,Endogenous,"All Targets, Myc, Endocytosis, mTOR Signaling, HIF1 Signaling"
DPROT_00746.1,CD64,CD64,"FCGR1BP,FCGR1A",P12314,Protein,Endogenous,"All Targets, Epigenetic Modification, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling"
DPROT_00877.1,STAT5a,STAT5a,STAT5A,"Q59GY7,P42229,K7EK35,A8K6I5",Protein,Endogenous,"All Targets, Treg Differentiation, PDGF Signaling, Other Interleukin Signaling, TH2 Differentiation, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00906.1,MMP3,MMP3,MMP3,P08254,Protein,Endogenous,"All Targets, TNF Signaling, Epigenetic Modification, Matrix Remodeling and Metastasis, Oxidative Stress, Other Interleukin Signaling"
DPROT_01096.1,FADD,FADD,FADD,Q13158,Protein,Endogenous,"All Targets, TNF Signaling, Apoptosis, TLR Signaling"
DPROT_01149.1,5 Lipoxygenase/5-LO,5 Lipoxygenase/5-LO,ALOX5,P09917,Protein,Endogenous,"All Targets, Prostaglandin Inflammation, Myeloid Inflammation, Oxidative Stress, Lipid Metabolism, Other Interleukin Signaling, IL-1 Signaling"
DPROT_01026.1,Histone H3 (acetyl K18),Histone H3 (acetyl K18),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_00972.1,S100A8 + S100A9,S100A8 + S100A9,S100A9,P06702,Protein,Endogenous,"All Targets, TLR Signaling"
DPROT_00916.1,PP2A alpha + beta,PP2A alpha + beta,"PPP2CA,PPP2CB","B3KUN1,A0A140VJS0,P62714,P67775",Protein,Endogenous,"All Targets, Glycolysis & Glucose Transport, Oxidative Stress, FGFR Signaling, PI3K-Akt Signaling, MAPK Signaling, Autophagy, IL-17 Signaling, TLR Signaling, Wnt Signaling, Cell Cycle, TGF-beta Signaling, AMPK Signaling"
DPROT_00740.1,beta glucuronidase (GUSB),beta glucuronidase (GUSB),GUSB,P08236,Protein,Endogenous,"All Targets, Lysosome"
DPROT_01045.1,FBP2,FBP2,FBP2,O00757,Protein,Endogenous,"All Targets, Insulin Signaling, Glycolysis & Glucose Transport, AMPK Signaling"
DPROT_01170.1,Argonaute-2,Argonaute-2,AGO2,Q9UKV8,Protein,Endogenous,"All Targets, Notch Signaling, p53 Signaling, Estrogen Signaling, MAPK Signaling, Wnt Signaling"
DPROT_00893.1,PAK1+PAK2+PAK3 (phospho S141 + S144 + S154),PAK1+PAK2+PAK3 (phospho S141 + S144 + S154),"PAK1,PAK2,PAK3","A0A024R5P0,A8K5M4,Q13177,Q13153,O75914,B2RCU6",Protein,Endogenous,"All Targets, VEGF Signaling, Cell Adhesion & Motility, Apoptosis, Myeloid Inflammation, Differentiation, MAPK Signaling, Other Interleukin Signaling, Chemokine Signaling, TCR Signaling"
DPROT_00814.1,AKT1 (phospho T450),AKT1 (phospho T450),AKT1,"B3KVH4,B0LPE5,P31749",Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, Notch Signaling, VEGF Signaling, ERBB2 Signaling, Cell Adhesion & Motility, Apoptosis, Myeloid Inflammation, Oxidative Stress, p53 Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Other Interleukin Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, HIF1 Signaling, TLR Signaling, JAK-STAT Signaling, Senescence, Wnt Signaling, Cell Cycle, AMPK Signaling, EMT"
DPROT_00852.1,AKR1B10,AKR1B10,AKR1B10,O60218,Protein,Endogenous,All Targets
DPROT_00867.1,Smad2 (phospho S255),Smad2 (phospho S255),SMAD2,"Q15796,B7Z5N5,Q53XR6",Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, Immortality & Stemness, Endocytosis, Differentiation, Senescence, Cell Cycle, TGF-beta Signaling, EMT"
DPROT_00056.1,S100 beta,S100 beta,S100B,"P04271,A0A0S2Z4C5",Protein,Endogenous,"All Targets, TLR Signaling, RAGE Signaling, IL-1 Signaling"
DPROT_01084.1,HMGB2,HMGB2,HMGB2,P26583,Protein,Endogenous,"All Targets, Apoptosis, DNA Damage Repair"
DPROT_01039.1,CD44,CD44,CD44,P16070,Protein,Endogenous,"All Targets, Immortality & Stemness, Matrix Remodeling and Metastasis, Type II Interferon Signaling, EMT"
DPROT_00757.1,LYVE1,LYVE1,LYVE1,"Q9Y5Y7,B2R672",Protein,Endogenous,All Targets
DPROT_00369.1,EGFR,EGFR,EGFR,"P00533,B7Z2I3,E7BSV0,E9PFD7,Q504U8,F2YGG7",Protein,Endogenous,"All Targets, Notch Signaling, ERBB2 Signaling, Cell Adhesion & Motility, Oxidative Stress, Endocytosis, EGFR Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, HIF1 Signaling, JAK-STAT Signaling, NO Signaling, EMT"
DPROT_01044.1,CD3 epsilon,CD3 epsilon,CD3E,P07766,Protein,Endogenous,"All Targets, Lymphocyte Regulation, TCR Signaling"
DPROT_00926.1,active YAP1,active YAP1,YAP1,"K0KVU2,P46937,A0A024R3E4,Q86T74",Protein,Endogenous,"All Targets, Hippo Signaling, Differentiation, EMT"
DPROT_00834.1,Actin,Actin,ACTA1,P68133,Protein,Endogenous,All Targets
DPROT_01054.1,CD83,CD83,CD83,"Q01151,A0A087WX61",Protein,Endogenous,All Targets
DPROT_01075.1,p27 KIP 1,p27 KIP 1,CDKN1B,"P46527,Q6I9V6",Protein,Endogenous,"All Targets, Epigenetic Modification, PI3K-Akt Signaling, FoxO Signaling, HIF1 Signaling, Senescence, Cell Cycle"
DPROT_01018.1,Thymidylate Synthase,Thymidylate Synthase,TYMS,"P04818,Q53Y97",Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_00267.1,Androgen Receptor,Androgen Receptor,AR,"A0A087WUX9,P10275,F1D8N5,G4VV16,Q9NUA2",Protein,Endogenous,"All Targets, Androgen Signaling, EMT"
DPROT_00404.1,TLR7,TLR7,TLR7,"B2R9N9,Q9NYK1",Protein,Endogenous,"All Targets, TLR Signaling"
DPROT_00780.1,IFIT1,IFIT1,IFIT1,P09914,Protein,Endogenous,"All Targets, Type I Interferon Signaling, Interferon Response Genes"
DPROT_01078.1,Catalase,Catalase,CAT,P04040,Protein,Endogenous,"All Targets, Oxidative Stress, FoxO Signaling"
DPROT_01052.1,CCR6,CCR6,CCR6,P51684,Protein,Endogenous,"All Targets, Chemokine Signaling"
DPROT_00957.1,MMP14,MMP14,MMP14,P50281,Protein,Endogenous,"All Targets, TNF Signaling, Matrix Remodeling and Metastasis, Oxidative Stress"
DPROT_01046.1,Integrin beta 1,Integrin beta 1,ITGB1,P05556,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lymphocyte Trafficking, Lymphocyte Regulation, Differentiation, PI3K-Akt Signaling, Other Interleukin Signaling, MET Signaling, TGF-beta Signaling, EMT"
DPROT_00735.1,LILRB3,LILRB3,LILRB3,,Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01000.1,HLA F,HLA F,HLA-F,"Q5JZ48,P30511,Q5JZ47",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Endocytosis, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling, Type I Interferon Signaling, Senescence"
DPROT_01152.1,ARID3A,ARID3A,ARID3A,Q99856,Protein,Endogenous,All Targets
DPROT_01148.1,ALDH1A1,ALDH1A1,ALDH1A1,"P00352,V9HW83",Protein,Endogenous,All Targets
DPROT_01180.1,Cytokeratin 8 (phospho S431),Cytokeratin 8 (phospho S431),KRT8,"P05787,Q7L4M3",Protein,Endogenous,"All Targets, Androgen Signaling, Differentiation, TGF-beta Signaling"
DPROT_00104.1,CD31,CD31,PECAM1,"A0A075B738,P16284",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lymphocyte Trafficking"
DPROT_00908.1,Myeloperoxidase,Myeloperoxidase,MPO,P05164,Protein,Endogenous,"All Targets, Epigenetic Modification, Oxidative Stress"
DPROT_00728.1,Ras,Ras,"HRAS,NRAS,KRAS","A0A024RAV5,I1SRC5,X5D945,L7RSL8,P01112,P01111,P01116,Q5U091",Protein,Endogenous,"All Targets, Insulin Signaling, VEGF Signaling, ERBB2 Signaling, Cell Adhesion & Motility, PDGF Signaling, Apoptosis, Myeloid Inflammation, FGFR Signaling, Endocytosis, EGFR Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, JAK-STAT Signaling, Senescence, MET Signaling, TGF-beta Signaling, EMT"
DPROT_00722.1,ISG15,ISG15,ISG15,P05161,Protein,Endogenous,"All Targets, DNA Damage Repair, Type I Interferon Signaling, Interferon Response Genes"
DPROT_01181.1,mTOR (phospho S2448),mTOR (phospho S2448),MTOR,P42345,Protein,Endogenous,"All Targets, Insulin Signaling, VEGF Signaling, TH17 Differentiation, p53 Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, HIF1 Signaling, JAK-STAT Signaling, Senescence, AMPK Signaling, EMT"
DPROT_01215.1,ATF2,ATF2,ATF2,"P15336,A4D7V5",Protein,Endogenous,"All Targets, TNF Signaling, Epigenetic Modification, p53 Signaling, Estrogen Signaling, PI3K-Akt Signaling, MAPK Signaling, IL-17 Signaling, Mitochondrial Metabolism / TCA, TLR Signaling"
DPROT_01005.1,RPS6 (phospho S235 + S236),RPS6 (phospho S235 + S236),RPS6,"P62753,A2A3R6",Protein,Endogenous,"All Targets, Insulin Signaling, Differentiation, PI3K-Akt Signaling, mTOR Signaling, HIF1 Signaling"
DPROT_00328.1,STAT5 (phospho Y694),STAT5 (phospho Y694),"STAT5B,STAT5A","Q59GY7,P42229,P51692,K7EK35,A8K6I5",Protein,Endogenous,"All Targets, Treg Differentiation, PDGF Signaling, Other Interleukin Signaling, TH2 Differentiation, Chemokine Signaling, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00763.1,Prostate Specific Antigen,Prostate Specific Antigen,KLK3,"P07288,Q546G3",Protein,Endogenous,"All Targets, Androgen Signaling"
DPROT_00033.1,Indoleamine 2_3-dioxygenase,Indoleamine 2_3-dioxygenase,IDO1,P14902,Protein,Endogenous,All Targets
DPROT_00833.1,Histone H3 (phospho S28),Histone H3 (phospho S28),"H3C2,H3C11,H3C10,H3C3,H3C12,H3C1,H3C6,H3C7,H3C4,H3C8",P68431,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Estrogen Signaling, Differentiation, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle"
DPROT_00824.1,Bcl-2,Bcl-2,BCL2,"A0A024R2B3,A0A024R2C4,P10415",Protein,Endogenous,"All Targets, NF-kB Signaling, Proteotoxic Stress, Cell Adhesion & Motility, Apoptosis, Oxidative Stress, p53 Signaling, Hedgehog Signaling, Estrogen Signaling, PI3K-Akt Signaling, Other Interleukin Signaling, Autophagy, HIF1 Signaling, JAK-STAT Signaling"
DPROT_00988.1,PRDM1/Blimp1,PRDM1/Blimp1,PRDM1,"B4DW27,Q5T4E8,O75626",Protein,Endogenous,All Targets
DPROT_00592.1,CCR7,CCR7,CCR7,"P32248,A0N0Q0,J3KSS9",Protein,Endogenous,"All Targets, Oxidative Stress, Chemokine Signaling, EMT"
DPROT_00777.1,CD33,CD33,CD33,"P20138,Q546G0",Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01049.1,KIR2DL3,KIR2DL3,KIR2DL3,"E3NZD8,P43628",Protein,Endogenous,"All Targets, Lymphocyte Regulation, Senescence"
DPROT_00180.1,Interferon gamma,Interferon gamma,IFNG,P01579,Protein,Endogenous,"All Targets, TH1 Differentiation, Other Interleukin Signaling, Type II Interferon Signaling, TCR Signaling, HIF1 Signaling, JAK-STAT Signaling, TGF-beta Signaling"
DPROT_00296.1,Raptor,Raptor,RPTOR,"Q6DKI0,Q8N122",Protein,Endogenous,"All Targets, Insulin Signaling, p53 Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, AMPK Signaling"
DPROT_00235.1,RSK1 p90 (phospho T359),RSK1 p90 (phospho T359),RPS6KA1,Q15418,Protein,Endogenous,"All Targets, Differentiation, MAPK Signaling, mTOR Signaling, IL-17 Signaling, TLR Signaling, Senescence"
DPROT_01065.1,Scavenging Receptor SR-BI,Scavenging Receptor SR-BI,SCARB1,"Q8WTV0,A0A024RBS4",Protein,Endogenous,All Targets
DPROT_00641.1,c-Jun,c-Jun,JUN,P05412,Protein,Endogenous,"All Targets, TNF Signaling, Notch Signaling, Cell Adhesion & Motility, NRF2 Signaling, Apoptosis, Myeloid Inflammation, Oxidative Stress, p53 Signaling, Estrogen Signaling, Differentiation, MAPK Signaling, TCR Signaling, IL-17 Signaling, TLR Signaling, Senescence, Wnt Signaling, EMT"
DPROT_01166.1,HLA G,HLA G,HLA-G,"P17693,Q6DU14,Q31611",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Endocytosis, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling, Type I Interferon Signaling, Senescence"
DPROT_01129.1,Cullin 1/CUL-1,Cullin 1/CUL-1,CUL1,"B3KTW0,A0A090N7U0,Q13616",Protein,Endogenous,"All Targets, Notch Signaling, NF-kB Signaling, Proteotoxic Stress, Myeloid Inflammation, Hedgehog Signaling, MHC Class I Antigen Presentation, TCR Signaling, IL-17 Signaling, TLR Signaling, Wnt Signaling, IL-1 Signaling, Cell Cycle, TGF-beta Signaling"
DPROT_00294.1,Osteopontin,Osteopontin,SPP1,"P10451,A0A024RDE6,A0A024RDE2,B7Z351,A0A024RDJ0,Q3LGB0",Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Cell Adhesion & Motility, PDGF Signaling, PI3K-Akt Signaling, TLR Signaling"
DPROT_00782.1,Galectin 3,Galectin 3,LGALS3,"P17931,A0A024R693",Protein,Endogenous,"All Targets, RAGE Signaling"
DPROT_00786.1,CD47,CD47,CD47,"A0A0A1TSG4,Q08722",Protein,Endogenous,All Targets
DPROT_00164.1,LEF1,LEF1,LEF1,"Q9UJU2,Q659G9,A0A024RDI7",Protein,Endogenous,"All Targets, Differentiation, Wnt Signaling, EMT"
DPROT_00742.1,HDAC4 + 5 + 9,HDAC4 + 5 + 9,"HDAC9,HDAC5,HDAC4","B7Z3P7,P56524,Q9UQL6,Q9UKV0",Protein,Endogenous,"All Targets, Notch Signaling, Wnt Signaling"
DPROT_00497.1,GATA3,GATA3,GATA3,P23771,Protein,Endogenous,"All Targets, TH1 Differentiation, Estrogen Signaling, Other Interleukin Signaling, TH2 Differentiation"
DPROT_00809.1,CD276,CD276,CD276,"Q5ZPR3,A0A0C4DGH0,A8K9J6",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, T-cell Checkpoints"
DPROT_00830.1,Survivin,Survivin,BIRC5,"H3BLT4,A0A0B4J1S3,O15392",Protein,Endogenous,"All Targets, Apoptosis, Other Interleukin Signaling, Cell Cycle"
DPROT_00811.1,CD15,CD15,FUT4,P22083,Protein,Endogenous,All Targets
DPROT_00969.1,TMS1/ASC,TMS1/ASC,PYCARD,Q9ULZ3,Protein,Endogenous,All Targets
DPROT_00023.1,alpha smooth muscle Actin,alpha smooth muscle Actin,ACTA2,"P62736,D2JYH4",Protein,Endogenous,"All Targets, Notch Signaling"
DPROT_00816.1,Collagen I,Collagen I,"COL1A2,COL1A1","P02452,P08123,A0A0S2Z3H5",Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Cell Adhesion & Motility, Oxidative Stress, Lymphocyte Regulation, PI3K-Akt Signaling, Other Interleukin Signaling, MET Signaling"
DPROT_00924.1,Smad4,Smad4,SMAD4,"Q13485,A0A024R274",Protein,Endogenous,"All Targets, Insulin Signaling, FGFR Signaling, PI3K-Akt Signaling, MAPK Signaling"
